Year,State,Accidents,Fatalities,Cause,Month
2016,Gujarat,4695,1074,Drunk Driving,Apr
2018,Gujarat,2938,383,Drunk Driving,Feb
2018,Delhi,530,138,Vehicle Defect,Aug
2022,West Bengal,4845,1146,Drunk Driving,Jun
2015,Punjab,1472,326,Speeding,Feb
2022,Maharashtra,3895,918,Overtaking,Jan
2021,Uttar Pradesh,447,127,Overtaking,Aug
2018,Karnataka,2819,831,Weather,Aug
2022,Odisha,2796,497,Drunk Driving,Apr
2016,Punjab,2441,387,Drunk Driving,Jan
2022,Kerala,2243,266,Weather,Feb
2015,Gujarat,3713,700,Weather,Mar
2023,Bihar,2719,539,Weather,Dec
2015,Kerala,1585,253,Speeding,Dec
2016,Karnataka,177,38,Weather,Oct
2020,Uttar Pradesh,4344,1036,Drunk Driving,Jul
2017,Maharashtra,625,143,Weather,Feb
2020,Odisha,890,259,Vehicle Defect,Dec
2018,Uttar Pradesh,1113,312,Drunk Driving,Nov
2015,Madhya Pradesh,950,275,Overtaking,Oct
2021,West Bengal,2865,504,Drunk Driving,Nov
2016,Tamil Nadu,4855,1080,Vehicle Defect,Apr
2020,Rajasthan,4806,1430,Weather,Apr
2023,Rajasthan,4263,1171,Drunk Driving,Nov
2019,Tamil Nadu,673,133,Weather,Jun
2022,Maharashtra,1445,403,Weather,Apr
2019,Uttar Pradesh,4124,971,Drunk Driving,May
2019,Uttar Pradesh,2062,232,Drunk Driving,Jan
2023,Kerala,1901,212,Weather,Mar
2023,Rajasthan,3236,483,Overtaking,Sep
2020,Odisha,3405,822,Overtaking,Apr
2023,Haryana,4538,699,Weather,Nov
2019,Bihar,3297,958,Weather,May
2018,Haryana,3427,694,Overtaking,Nov
2015,Madhya Pradesh,974,127,Weather,Jul
2015,Tamil Nadu,1551,256,Weather,Jan
2016,Bihar,4826,778,Overtaking,Aug
2019,Gujarat,3594,509,Weather,Jun
2018,Punjab,4051,491,Drunk Driving,Aug
2018,West Bengal,3165,916,Vehicle Defect,Nov
2017,Delhi,3471,583,Overtaking,May
2023,Assam,3209,879,Overtaking,Sep
2015,Karnataka,2728,594,Vehicle Defect,Feb
2019,Delhi,275,33,Overtaking,May
2020,Maharashtra,3672,894,Drunk Driving,Mar
2022,Uttar Pradesh,2727,786,Drunk Driving,Oct
2021,Odisha,1388,363,Speeding,Nov
2017,Uttar Pradesh,1968,335,Weather,Sep
2019,Madhya Pradesh,2690,369,Weather,Jun
2022,Uttar Pradesh,3487,943,Weather,Nov
2018,Madhya Pradesh,4854,495,Weather,Aug
2015,Tamil Nadu,1600,278,Drunk Driving,Apr
2022,Madhya Pradesh,666,141,Overtaking,Nov
2017,West Bengal,227,35,Drunk Driving,Mar
2020,Odisha,3778,1051,Overtaking,Nov
2020,Punjab,557,120,Overtaking,Feb
2019,Bihar,3001,874,Vehicle Defect,Oct
2020,Assam,196,50,Overtaking,Oct
2022,Uttar Pradesh,2531,531,Speeding,Feb
2023,Assam,4096,588,Weather,Mar
2016,Maharashtra,3283,815,Speeding,Feb
2022,Uttar Pradesh,343,68,Overtaking,Mar
2015,Karnataka,4857,1109,Drunk Driving,Aug
2021,Kerala,3677,987,Speeding,Jan
2015,Rajasthan,2403,665,Weather,Jun
2017,Odisha,2071,536,Vehicle Defect,Oct
2021,Rajasthan,2121,358,Drunk Driving,Jul
2015,Delhi,3173,851,Drunk Driving,Nov
2021,Assam,403,78,Speeding,Jul
2016,Bihar,2746,761,Drunk Driving,Nov
2019,Karnataka,3204,442,Weather,May
2022,Karnataka,3499,752,Vehicle Defect,Sep
2017,Haryana,3963,692,Vehicle Defect,Oct
2016,Madhya Pradesh,523,128,Drunk Driving,Mar
2021,Karnataka,2754,417,Weather,Mar
2017,Punjab,1319,339,Speeding,Dec
2019,Punjab,3682,604,Weather,Dec
2022,Tamil Nadu,3777,930,Drunk Driving,Feb
2020,Kerala,503,147,Overtaking,Feb
2016,Tamil Nadu,2606,485,Weather,Aug
2020,Rajasthan,3717,497,Overtaking,May
2015,Delhi,2297,286,Speeding,Jun
2019,Rajasthan,537,92,Weather,Nov
2016,Punjab,2861,556,Speeding,Jun
2022,West Bengal,3446,753,Overtaking,Dec
2017,Punjab,4098,1042,Drunk Driving,Mar
2019,Punjab,1062,227,Weather,Apr
2020,Delhi,4253,900,Vehicle Defect,Jun
2018,Assam,103,14,Speeding,Nov
2018,Delhi,3809,648,Speeding,Jul
2020,Punjab,1125,124,Overtaking,Dec
2023,Haryana,2007,441,Speeding,Aug
2018,Delhi,2211,593,Speeding,Aug
2021,Uttar Pradesh,4655,697,Overtaking,Sep
2022,Rajasthan,2447,259,Vehicle Defect,Sep
2016,Kerala,4866,638,Drunk Driving,Mar
2017,Delhi,294,37,Vehicle Defect,Mar
2016,Tamil Nadu,3438,422,Overtaking,Jan
2017,Haryana,2098,582,Drunk Driving,Jun
2016,Haryana,1115,324,Weather,Oct
2022,West Bengal,4976,586,Speeding,Jun
2017,Punjab,4119,894,Drunk Driving,Dec
2017,Punjab,2925,310,Overtaking,Jun
2022,Rajasthan,2175,547,Speeding,Oct
2022,Odisha,1467,316,Vehicle Defect,Aug
2022,Rajasthan,2575,683,Speeding,Jan
2022,Madhya Pradesh,2017,399,Speeding,Jan
2021,Punjab,256,66,Speeding,Jan
2021,Bihar,4766,835,Overtaking,Dec
2021,Gujarat,3772,886,Vehicle Defect,Jul
2022,Assam,555,146,Overtaking,Mar
2023,Karnataka,2410,653,Weather,Dec
2015,Delhi,2911,674,Vehicle Defect,Oct
2015,Rajasthan,749,179,Weather,Apr
2021,Punjab,4076,1213,Vehicle Defect,Jun
2023,Tamil Nadu,1469,167,Weather,Nov
2020,Kerala,2388,374,Drunk Driving,Aug
2018,Uttar Pradesh,199,55,Vehicle Defect,Sep
2016,Haryana,4054,786,Speeding,Feb
2017,Karnataka,4582,684,Vehicle Defect,Aug
2018,Bihar,2880,725,Vehicle Defect,Jun
2021,Uttar Pradesh,4832,1024,Overtaking,Aug
2022,Haryana,3154,889,Speeding,Mar
2016,Bihar,3992,989,Weather,May
2018,Maharashtra,3319,734,Overtaking,Oct
2018,West Bengal,986,155,Drunk Driving,Dec
2023,Maharashtra,2177,277,Overtaking,Apr
2016,Haryana,614,97,Weather,Nov
2023,Bihar,965,101,Overtaking,Oct
2021,Haryana,2349,644,Drunk Driving,Jul
2017,Madhya Pradesh,3711,911,Overtaking,Dec
2018,Odisha,3877,388,Drunk Driving,Oct
2017,Haryana,1785,491,Drunk Driving,Feb
2017,Karnataka,2847,463,Vehicle Defect,Oct
2015,Madhya Pradesh,3196,607,Vehicle Defect,Nov
2018,Uttar Pradesh,2326,681,Drunk Driving,Jan
2023,Bihar,751,118,Overtaking,Feb
2021,Haryana,917,115,Vehicle Defect,Apr
2020,Rajasthan,2524,547,Speeding,Feb
2022,Tamil Nadu,2189,391,Speeding,Oct
2016,Kerala,2475,348,Speeding,Jun
2016,Rajasthan,3896,590,Drunk Driving,Apr
2016,Delhi,1280,339,Speeding,Jul
2022,Madhya Pradesh,2988,534,Weather,Sep
2016,Odisha,1092,261,Overtaking,Sep
2023,West Bengal,3935,651,Weather,Dec
2020,Delhi,565,60,Speeding,Feb
2019,Kerala,3619,947,Speeding,Dec
2022,Kerala,1202,184,Vehicle Defect,Jul
2020,Odisha,3647,1077,Overtaking,Sep
2015,West Bengal,2610,509,Weather,Jun
2015,Uttar Pradesh,2669,715,Weather,Sep
2016,Maharashtra,2642,482,Speeding,Feb
2023,Uttar Pradesh,619,146,Vehicle Defect,Sep
2016,Gujarat,1121,333,Drunk Driving,Jul
2020,Gujarat,3389,692,Overtaking,Oct
2023,Karnataka,1784,183,Vehicle Defect,Aug
2016,Gujarat,839,187,Overtaking,Jul
2021,Odisha,4090,1039,Overtaking,Nov
2023,Rajasthan,483,72,Vehicle Defect,Oct
2020,Maharashtra,327,52,Vehicle Defect,Apr
2022,Delhi,356,36,Speeding,Sep
2021,Maharashtra,2295,252,Drunk Driving,Nov
2022,Odisha,4675,774,Speeding,Feb
2022,Bihar,250,40,Weather,Jul
2018,Kerala,3572,933,Vehicle Defect,Sep
2018,Kerala,1483,256,Speeding,Jun
2020,Rajasthan,275,73,Speeding,Mar
2020,Tamil Nadu,3117,426,Drunk Driving,Jan
2016,Maharashtra,727,118,Drunk Driving,Jul
2015,Odisha,382,56,Speeding,Feb
2015,Haryana,4901,1188,Vehicle Defect,Jan
2015,Odisha,2676,614,Overtaking,May
2016,Delhi,3837,1089,Weather,Aug
2019,Karnataka,1302,245,Overtaking,Jan
2016,Uttar Pradesh,2424,690,Drunk Driving,Jul
2015,Karnataka,1132,125,Speeding,Dec
2017,Gujarat,4988,810,Overtaking,Jun
2023,Uttar Pradesh,2788,750,Overtaking,Apr
2017,Kerala,523,69,Speeding,Oct
2023,Maharashtra,4109,472,Overtaking,Aug
2016,Kerala,857,136,Speeding,Apr
2022,Bihar,1235,346,Drunk Driving,Oct
2019,Haryana,2305,287,Overtaking,May
2020,Punjab,248,31,Vehicle Defect,Sep
2022,Assam,1578,397,Overtaking,Feb
2022,Madhya Pradesh,1301,151,Vehicle Defect,Dec
2016,Assam,304,85,Weather,Mar
2020,Karnataka,3542,1049,Overtaking,Jan
2018,Bihar,3142,503,Overtaking,Jan
2015,West Bengal,2277,633,Weather,Feb
2015,Uttar Pradesh,3746,554,Vehicle Defect,Aug
2019,West Bengal,4915,1381,Weather,Jan
2017,Delhi,449,45,Weather,Mar
2021,Delhi,4834,1141,Vehicle Defect,Aug
2017,Assam,3810,661,Overtaking,May
2020,Tamil Nadu,3721,1045,Drunk Driving,Oct
2017,Kerala,1796,293,Overtaking,Dec
2018,Kerala,1275,333,Vehicle Defect,May
2016,Delhi,1716,194,Weather,Aug
2017,Karnataka,4735,1133,Vehicle Defect,Feb
2020,Madhya Pradesh,4301,662,Overtaking,Dec
2020,Madhya Pradesh,148,18,Weather,Aug
2019,Bihar,3086,860,Overtaking,May
2018,Assam,1356,322,Weather,Jan
2016,Madhya Pradesh,1101,131,Overtaking,Nov
2023,Delhi,1169,161,Overtaking,May
2020,Rajasthan,4483,1228,Vehicle Defect,Apr
2017,Haryana,499,143,Vehicle Defect,Aug
2018,Maharashtra,4201,735,Drunk Driving,Nov
2022,Kerala,3599,909,Overtaking,Sep
2019,Kerala,679,185,Speeding,Feb
2023,Kerala,3949,778,Vehicle Defect,Sep
2022,Madhya Pradesh,1248,261,Speeding,Jul
2020,Tamil Nadu,2270,258,Overtaking,Mar
2017,Bihar,957,131,Weather,Sep
2018,Maharashtra,967,275,Drunk Driving,Sep
2015,West Bengal,4975,758,Vehicle Defect,Nov
2017,Kerala,1125,178,Drunk Driving,Feb
2015,Punjab,2668,278,Speeding,Jul
2015,Uttar Pradesh,2655,659,Speeding,Sep
2017,Maharashtra,2374,711,Vehicle Defect,Jul
2018,Tamil Nadu,1664,393,Drunk Driving,Nov
2016,Tamil Nadu,1135,329,Weather,Feb
2022,Uttar Pradesh,1976,561,Vehicle Defect,Jan
2017,Bihar,3271,494,Drunk Driving,Oct
2016,Kerala,4990,1226,Overtaking,Oct
2019,Haryana,3823,1011,Overtaking,Nov
2022,Punjab,2971,673,Speeding,Aug
2015,Delhi,2892,528,Overtaking,Apr
2020,Delhi,932,225,Speeding,Jan
2023,Kerala,3617,583,Weather,Aug
2020,Bihar,1358,236,Speeding,May
2020,Uttar Pradesh,2583,409,Drunk Driving,Sep
2021,Kerala,1701,452,Speeding,Jul
2020,West Bengal,3189,701,Drunk Driving,Mar
2020,Haryana,2764,411,Overtaking,Jun
2015,Gujarat,4705,733,Vehicle Defect,Dec
2022,Uttar Pradesh,2081,588,Weather,Dec
2022,Uttar Pradesh,761,183,Drunk Driving,Feb
2016,Kerala,4555,1243,Drunk Driving,Dec
2017,West Bengal,4833,780,Speeding,Feb
2018,Tamil Nadu,2106,384,Vehicle Defect,Mar
2020,Karnataka,191,42,Drunk Driving,Jun
2022,Uttar Pradesh,2378,641,Weather,Sep
2023,Madhya Pradesh,4312,1174,Overtaking,Jan
2017,West Bengal,4975,1264,Overtaking,Apr
2019,West Bengal,716,159,Drunk Driving,Mar
2019,Haryana,602,160,Drunk Driving,Feb
2016,Haryana,221,48,Weather,Aug
2023,Rajasthan,2932,509,Drunk Driving,Apr
2021,Madhya Pradesh,2749,582,Vehicle Defect,Mar
2020,Madhya Pradesh,1151,221,Speeding,Nov
2021,Madhya Pradesh,1228,196,Overtaking,Jul
2019,Maharashtra,707,86,Overtaking,Nov
2022,Haryana,2799,637,Vehicle Defect,Apr
2015,Karnataka,4377,936,Drunk Driving,Jul
2017,Bihar,4375,559,Speeding,Jul
2021,Tamil Nadu,358,82,Vehicle Defect,Aug
2020,Maharashtra,4399,1299,Weather,Dec
2015,Odisha,1718,451,Overtaking,Aug
2021,Assam,1470,379,Speeding,Jul
2015,Assam,941,151,Weather,May
2019,Karnataka,3848,994,Vehicle Defect,May
2023,West Bengal,597,128,Weather,Aug
2021,Odisha,2692,482,Weather,Jan
2017,Maharashtra,3367,362,Speeding,Nov
2020,Maharashtra,4630,789,Speeding,Apr
2016,Madhya Pradesh,775,169,Drunk Driving,Sep
2023,Madhya Pradesh,4310,939,Drunk Driving,Apr
2019,Punjab,4666,532,Vehicle Defect,Jan
2018,Tamil Nadu,1600,381,Vehicle Defect,Jan
2016,Odisha,1584,366,Drunk Driving,Feb
2016,Uttar Pradesh,2517,393,Weather,Oct
2015,Tamil Nadu,845,228,Weather,Mar
2022,Punjab,2716,327,Weather,Oct
2017,Madhya Pradesh,1896,314,Speeding,Jul
2021,Karnataka,429,73,Overtaking,Jul
2015,Gujarat,1438,223,Weather,Sep
2018,Madhya Pradesh,2020,525,Vehicle Defect,Apr
2017,Uttar Pradesh,259,56,Overtaking,Aug
2020,Karnataka,571,128,Overtaking,Nov
2022,Bihar,2411,261,Speeding,May
2019,Madhya Pradesh,4906,842,Overtaking,Dec
2015,West Bengal,4170,1036,Speeding,Dec
2017,Haryana,4966,1384,Vehicle Defect,Mar
2015,Maharashtra,2042,375,Speeding,Apr
2019,West Bengal,2238,254,Weather,May
2018,Maharashtra,2852,792,Drunk Driving,Sep
2023,Gujarat,1223,199,Overtaking,Dec
2019,Assam,2792,333,Vehicle Defect,Jan
2018,West Bengal,2700,651,Vehicle Defect,Aug
2017,Gujarat,2719,659,Overtaking,Jul
2018,Uttar Pradesh,3771,497,Overtaking,Dec
2020,Bihar,3535,875,Overtaking,Jul
2021,West Bengal,1702,343,Vehicle Defect,Jul
2021,Karnataka,4579,655,Vehicle Defect,Jan
2020,Madhya Pradesh,3040,400,Overtaking,Sep
2015,Haryana,4917,615,Vehicle Defect,Sep
2019,Delhi,132,36,Vehicle Defect,May
2020,Rajasthan,2655,651,Vehicle Defect,Jan
2021,Bihar,1464,364,Vehicle Defect,Sep
2020,Punjab,1993,388,Speeding,Jan
2023,Uttar Pradesh,2440,485,Vehicle Defect,Dec
2022,Gujarat,686,159,Weather,Jan
2020,West Bengal,1567,427,Weather,Nov
2019,Madhya Pradesh,3462,396,Speeding,Jun
2020,Rajasthan,2015,295,Overtaking,Mar
2018,Kerala,2998,848,Vehicle Defect,Dec
2022,Kerala,3199,351,Drunk Driving,Dec
2015,Maharashtra,779,107,Weather,Apr
2021,Bihar,2817,407,Overtaking,Aug
2023,Gujarat,4310,1016,Drunk Driving,May
2015,Maharashtra,4969,821,Drunk Driving,Jul
2016,Madhya Pradesh,2196,584,Overtaking,Jun
2015,Odisha,3542,1009,Weather,Oct
2017,Assam,3645,787,Weather,Feb
2017,Bihar,1732,374,Vehicle Defect,Jul
2017,Delhi,3175,869,Weather,May
2022,Rajasthan,214,22,Speeding,Jan
2017,Haryana,3874,1111,Vehicle Defect,Dec
2019,Rajasthan,779,161,Overtaking,Nov
2017,Punjab,939,131,Vehicle Defect,Oct
2019,Kerala,1639,456,Drunk Driving,Jan
2015,Delhi,2058,557,Vehicle Defect,Apr
2021,Gujarat,1905,279,Speeding,Jun
2021,Rajasthan,2406,393,Overtaking,Oct
2023,West Bengal,559,107,Weather,Jan
2022,Punjab,2920,829,Drunk Driving,Jan
2018,Rajasthan,1221,210,Overtaking,Mar
2015,Maharashtra,3101,805,Speeding,Mar
2015,Rajasthan,3812,512,Vehicle Defect,Aug
2019,Karnataka,2492,477,Speeding,Mar
2015,Kerala,2322,420,Weather,Feb
2015,Maharashtra,903,123,Speeding,Feb
2020,Kerala,1824,215,Speeding,May
2017,Uttar Pradesh,3891,1062,Overtaking,Sep
2023,Kerala,803,144,Drunk Driving,Dec
2019,Madhya Pradesh,313,77,Weather,Feb
2022,West Bengal,3335,614,Drunk Driving,Jun
2015,West Bengal,389,64,Speeding,Aug
2020,Punjab,4670,616,Drunk Driving,Oct
2021,Maharashtra,2718,622,Drunk Driving,Jul
2015,Punjab,4829,603,Drunk Driving,Aug
2017,Delhi,1276,155,Vehicle Defect,Oct
2016,Madhya Pradesh,4894,1040,Drunk Driving,May
2018,Assam,2904,381,Speeding,Sep
2016,Haryana,3009,676,Vehicle Defect,Mar
2017,Haryana,3887,898,Vehicle Defect,Feb
2021,Haryana,2320,614,Speeding,Feb
2020,Haryana,1227,218,Weather,Aug
2023,Karnataka,3487,673,Drunk Driving,Nov
2023,Haryana,1340,314,Speeding,Jun
2015,Rajasthan,4423,1027,Overtaking,Sep
2016,Tamil Nadu,3383,672,Vehicle Defect,Apr
2017,West Bengal,1868,520,Weather,Oct
2020,Madhya Pradesh,1287,148,Vehicle Defect,Oct
2022,West Bengal,1468,315,Vehicle Defect,May
2020,Delhi,3548,739,Vehicle Defect,Jun
2019,Madhya Pradesh,564,147,Speeding,Mar
2021,Maharashtra,3281,968,Overtaking,Jun
2021,Karnataka,4068,666,Overtaking,Oct
2017,Karnataka,2508,722,Vehicle Defect,Jul
2016,Maharashtra,3003,662,Speeding,Mar
2018,Punjab,2656,788,Weather,Oct
2015,Rajasthan,2591,537,Drunk Driving,Jun
2016,Gujarat,1583,262,Overtaking,Feb
2023,Tamil Nadu,4434,1208,Speeding,Oct
2019,Uttar Pradesh,2458,545,Speeding,Nov
2021,Gujarat,1394,306,Drunk Driving,Jun
2021,Assam,346,78,Drunk Driving,Sep
2022,Tamil Nadu,116,20,Overtaking,Jan
2019,Tamil Nadu,3242,434,Drunk Driving,Oct
2017,Kerala,4353,1130,Speeding,Sep
2017,Tamil Nadu,3340,505,Speeding,Oct
2023,Gujarat,2335,498,Speeding,Oct
2022,Delhi,4688,1124,Overtaking,Sep
2016,Rajasthan,3504,1046,Vehicle Defect,Oct
2019,Uttar Pradesh,970,163,Vehicle Defect,Mar
2022,Assam,2847,823,Speeding,Aug
2016,Haryana,355,63,Speeding,Jul
2020,Rajasthan,3851,646,Weather,May
2018,Madhya Pradesh,3352,639,Vehicle Defect,Aug
2019,Gujarat,3663,635,Drunk Driving,Sep
2023,Madhya Pradesh,2613,756,Weather,Oct
2017,Odisha,924,229,Weather,Aug
2018,Uttar Pradesh,4530,539,Overtaking,Jul
2016,Kerala,4420,999,Speeding,Nov
2017,Uttar Pradesh,4681,926,Drunk Driving,Mar
2019,West Bengal,1392,150,Drunk Driving,Feb
2017,Assam,2446,418,Speeding,Dec
2019,Assam,2610,414,Overtaking,May
2016,Delhi,1265,206,Weather,Aug
2023,Kerala,4763,830,Vehicle Defect,Aug
2023,Madhya Pradesh,552,158,Drunk Driving,Feb
2017,Rajasthan,1643,339,Drunk Driving,Apr
2018,Rajasthan,2478,539,Vehicle Defect,Jun
2022,Kerala,3693,1027,Overtaking,Oct
2018,Karnataka,1913,254,Weather,Sep
2020,Maharashtra,3983,1170,Speeding,May
2019,Punjab,1837,489,Speeding,Oct
2018,Rajasthan,2647,396,Overtaking,Nov
2019,Maharashtra,3630,706,Drunk Driving,Nov
2022,Gujarat,4415,664,Vehicle Defect,Jan
2023,Odisha,1611,308,Weather,Jan
2019,Maharashtra,1826,512,Weather,Nov
2022,West Bengal,4497,943,Weather,Jan
2015,Assam,2198,394,Speeding,Mar
2021,Uttar Pradesh,3731,916,Drunk Driving,Mar
2017,Bihar,3623,1029,Speeding,Jan
2015,Karnataka,4378,947,Drunk Driving,Apr
2020,Assam,1059,107,Vehicle Defect,May
2017,Assam,3279,342,Weather,Mar
2020,Gujarat,579,128,Weather,Jan
2021,West Bengal,3723,945,Vehicle Defect,Dec
2020,Madhya Pradesh,440,110,Overtaking,May
2023,Tamil Nadu,4826,1121,Speeding,Apr
2016,Gujarat,209,30,Overtaking,May
2023,Delhi,2087,430,Speeding,Mar
2021,Bihar,523,147,Overtaking,Nov
2017,Punjab,3559,863,Weather,May
2016,Rajasthan,4246,988,Speeding,May
2019,Assam,4816,1388,Vehicle Defect,Dec
2015,Tamil Nadu,4696,1277,Weather,Aug
2021,Tamil Nadu,2589,621,Drunk Driving,Jul
2019,Karnataka,2031,358,Weather,Mar
2015,Bihar,2948,418,Overtaking,Nov
2022,Bihar,1261,183,Drunk Driving,Oct
2017,Karnataka,284,32,Speeding,Oct
2015,Tamil Nadu,1012,251,Vehicle Defect,May
2016,Assam,2774,627,Overtaking,Jul
2016,Odisha,692,197,Speeding,Oct
2021,Gujarat,2990,408,Overtaking,Jan
2020,Bihar,1813,254,Weather,May
2017,Odisha,3410,699,Vehicle Defect,Apr
2018,Maharashtra,2013,272,Drunk Driving,Dec
2016,Assam,4601,1059,Drunk Driving,Jul
2020,Maharashtra,2558,681,Overtaking,Oct
2022,Delhi,4619,1281,Overtaking,Jun
2015,Odisha,688,144,Weather,Nov
2018,Uttar Pradesh,831,227,Vehicle Defect,Dec
2020,Haryana,4873,511,Vehicle Defect,Aug
2021,Uttar Pradesh,909,251,Vehicle Defect,Nov
2019,Tamil Nadu,3009,533,Weather,Dec
2015,Maharashtra,3224,792,Drunk Driving,Dec
2019,Bihar,4979,806,Weather,Feb
2023,Uttar Pradesh,2673,787,Vehicle Defect,Jul
2019,Maharashtra,310,70,Weather,Nov
2016,Karnataka,2808,369,Overtaking,Oct
2020,Odisha,3433,788,Weather,Feb
2016,Gujarat,4959,1139,Speeding,Feb
2021,West Bengal,905,253,Vehicle Defect,Mar
2016,Maharashtra,1836,545,Vehicle Defect,Oct
2022,Uttar Pradesh,1304,263,Speeding,May
2017,Madhya Pradesh,3557,835,Weather,Sep
2023,Kerala,2896,448,Vehicle Defect,May
2021,West Bengal,2914,372,Drunk Driving,Mar
2019,Rajasthan,1154,270,Overtaking,Sep
2022,Gujarat,4204,609,Speeding,Apr
2022,Punjab,842,170,Speeding,Feb
2022,Bihar,3253,438,Drunk Driving,Jan
2018,Madhya Pradesh,2620,766,Weather,Jun
2017,Odisha,3181,642,Vehicle Defect,Nov
2019,Madhya Pradesh,2519,546,Overtaking,Nov
2017,Kerala,3326,874,Weather,Jun
2018,Haryana,2324,474,Overtaking,Aug
2022,Maharashtra,648,193,Drunk Driving,Feb
2019,West Bengal,3225,824,Vehicle Defect,Oct
2021,Uttar Pradesh,4172,568,Vehicle Defect,Sep
2019,Odisha,3795,715,Overtaking,Jul
2018,West Bengal,4006,629,Vehicle Defect,Aug
2019,Punjab,3711,888,Drunk Driving,Jun
2016,Gujarat,3306,364,Speeding,Jul
2019,Assam,2153,575,Speeding,Mar
2019,West Bengal,1475,322,Speeding,Nov
2016,Punjab,2552,626,Drunk Driving,Oct
2016,Gujarat,3395,663,Weather,Feb
2015,Delhi,1032,269,Speeding,Sep
2017,West Bengal,1182,188,Speeding,Jan
2023,Haryana,1483,353,Speeding,Nov
2017,Karnataka,4365,575,Weather,Jun
2015,Tamil Nadu,2040,463,Overtaking,Apr
2022,Haryana,4164,732,Overtaking,Sep
2022,Odisha,157,30,Speeding,Dec
2021,Maharashtra,761,228,Speeding,Aug
2017,Uttar Pradesh,4057,1130,Overtaking,Apr
2022,Karnataka,4384,916,Weather,Dec
2015,Assam,556,85,Drunk Driving,Dec
2021,Tamil Nadu,3488,452,Drunk Driving,Dec
2023,Uttar Pradesh,2837,451,Weather,Jul
2020,Punjab,3885,1045,Weather,Nov
2015,Karnataka,3866,888,Vehicle Defect,Oct
2017,Maharashtra,1961,317,Speeding,Dec
2020,West Bengal,702,150,Vehicle Defect,Jul
2019,Punjab,3927,948,Drunk Driving,Oct
2018,Gujarat,782,219,Weather,Oct
2022,Haryana,3800,738,Speeding,Jun
2021,Uttar Pradesh,4311,1156,Speeding,Dec
2020,Maharashtra,664,136,Speeding,Nov
2021,Karnataka,3811,839,Weather,Nov
2016,Bihar,413,90,Overtaking,Nov
2015,Tamil Nadu,2211,423,Overtaking,Dec
2020,Rajasthan,344,77,Weather,Nov
2015,Rajasthan,1194,332,Weather,Aug
2018,Kerala,111,11,Overtaking,Oct
2017,Punjab,3215,590,Overtaking,Sep
2021,Assam,3726,1042,Drunk Driving,Jun
2016,Odisha,1700,502,Vehicle Defect,Oct
2018,Odisha,3450,616,Drunk Driving,Aug
2019,Assam,2289,373,Overtaking,Jul
2018,Haryana,1697,336,Drunk Driving,Jul
2016,Assam,4941,835,Weather,Jun
2020,Assam,2924,712,Weather,May
2015,Rajasthan,2129,214,Overtaking,Feb
2019,Haryana,4351,574,Weather,May
2023,Tamil Nadu,1062,245,Vehicle Defect,Aug
2021,Tamil Nadu,511,145,Drunk Driving,May
2021,Haryana,702,200,Overtaking,Apr
2015,West Bengal,868,228,Weather,Aug
2020,West Bengal,2576,720,Speeding,Feb
2019,Tamil Nadu,4189,988,Overtaking,May
2016,Tamil Nadu,2932,313,Vehicle Defect,Oct
2017,Punjab,4877,1246,Overtaking,Aug
2021,Punjab,1420,261,Weather,Mar
2015,Tamil Nadu,3524,712,Drunk Driving,Sep
2023,Uttar Pradesh,1458,182,Speeding,Mar
2021,West Bengal,2587,290,Speeding,Aug
2022,Punjab,3544,550,Speeding,Nov
2015,Madhya Pradesh,1393,405,Speeding,Apr
2022,West Bengal,1976,575,Vehicle Defect,Jan
2022,Madhya Pradesh,1670,372,Weather,Feb
2019,Uttar Pradesh,929,250,Overtaking,Jun
2018,Karnataka,576,134,Speeding,Jul
2018,Punjab,2038,455,Speeding,Oct
2016,Madhya Pradesh,1802,309,Weather,May
2022,Kerala,2071,243,Overtaking,May
2017,Tamil Nadu,3798,880,Speeding,Jun
2018,Tamil Nadu,4374,1009,Vehicle Defect,Feb
2022,Madhya Pradesh,2714,701,Vehicle Defect,Aug
2015,Bihar,2822,286,Speeding,May
2020,Bihar,3317,505,Overtaking,May
2016,Kerala,2535,371,Speeding,Oct
2019,Haryana,3408,424,Overtaking,Nov
2021,Delhi,1534,243,Speeding,Dec
2015,Uttar Pradesh,3131,634,Overtaking,Sep
2015,Bihar,1249,164,Weather,Apr
2018,Odisha,1027,257,Weather,May
2015,Madhya Pradesh,502,91,Overtaking,Jul
2015,Maharashtra,890,135,Drunk Driving,May
2017,Tamil Nadu,4306,1119,Weather,Dec
2016,Haryana,2130,544,Speeding,Sep
2023,Bihar,4901,1457,Overtaking,Jan
2021,Kerala,422,111,Drunk Driving,Mar
2023,Madhya Pradesh,1367,225,Overtaking,Apr
2021,Madhya Pradesh,1038,188,Drunk Driving,Jul
2020,Uttar Pradesh,4594,1344,Overtaking,Nov
2015,Kerala,3573,819,Overtaking,Sep
2016,Punjab,722,175,Drunk Driving,Mar
2023,Haryana,2174,596,Vehicle Defect,Jan
2018,Punjab,2956,386,Overtaking,Oct
2016,Kerala,4528,1050,Drunk Driving,Apr
2019,Karnataka,543,93,Weather,May
2018,Odisha,4369,665,Weather,Nov
2023,Maharashtra,1868,434,Drunk Driving,Sep
2019,Tamil Nadu,3559,666,Drunk Driving,Jul
2023,Punjab,1409,317,Drunk Driving,May
2018,Uttar Pradesh,415,98,Vehicle Defect,Jul
2021,Madhya Pradesh,2933,466,Overtaking,Aug
